Species,Year,L1-Country,L2-Province/state,L3-City,L4-District,Location,Lat,Long,SourceType,Journal,Title,PMID,Note
Aedes vexans,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Aedes excrucians,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Aedes cataphylla,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Aedes communis,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Culex orientalis,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Anopheles sinensis,1982,China,Heilongjiang,Jixi,NA,Zhenbaodao,46.490171,133.856169,Raw_data,军事医学科学院院刊,珍宝岛地区“三班倒”吸血昆虫的研究,NA,NA
Anopheles sinensis,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Anopheles yatsushiroensis,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes cataphylla,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes cinereus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes communis,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes cyprius,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes diantaeus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes dorsalis,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes excrucians,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes flavescens,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes mercurator,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes pullatus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes punctor,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes sticticus,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
Aedes vexans,2010,China,Heilongjiang,Hegang,Luobei,Luobeikouan,47.57959,130.83346,Raw_data,口岸卫生控制,黑龙江省萝北口岸蚊虫本地调查,NA,NA
